ID,Crop,Year,Lat,Lon,Plant density,Plantation date,Harvest date,Soil pH_H2O,Soil.pH_SMP7.5,SOM_%,Soil.MIII.Al.ICP_mg.kg,Soil.MIII.P.ICP_mg.kg,Texture,Clay %,Sand %,Soil Series,Manure,P.Source,P.rate_kgP2o5.ha_ctrl,P.rate_kgP2o5.ha_1,P.rate_kgP2o5.ha_2,P.rate_kgP2o5.ha_3,P.rate_kgP2o5.ha_4,Yield_t.ha_ctrl,Yield_t.ha_1,Yield_t.ha_2,Yield_t.ha_3,Yield_t.ha_4,Grain density g.L ctrl,Grain density g.L 1,Grain density g.L 2,Grain density g.L 3,Grain density g.L 4,Grain mositure % ctrl,Grain mositure % 1,Grain mositure % 2,Grain mositure % 3,Grain mositure % 4,MaxLeafLength_cm_ctrl,MaxLeafLength_cm_1,MaxLeafLength_cm_2,MaxLeafLength_cm_3,Growing season (d),pcpCum,pcpIrCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DDCm,DDCb,nb3po3j,nb4po7j,CTU,cClim,cClimKc,pcpCum_30,pcpIrCum_30,SDI_30,AWDR_30,nbPcp1_30,nbPcp2_30,nbPcp5_30,nbPcp10_30,IhBR_30,IhKcBR_30,etpBRcum_30,etpKcBRcum_30,tMean_30,DDCm_30,DDCb_30,nb3po3j_30,nb4po7j_30,CTU_30
516,Grain,2002,45.8,-73,57522,2002-04-24,NA,5.8,NA,NA,587.5,549.4,Loam,13,51,Saint-Hyacinthe,Bird manure,AAP,0,14,NA,NA,NA,9.8,9.8,NA,NA,NA,678,674,NA,NA,NA,31.8,31.1,NA,NA,NA,NA,NA,NA,NA,178,495.45,495.45,0.69589882,344.78307,55,44,27,19,-24.146092,-24.146092,653.16345,653.16345,16.150702,NA,1996.95,46,38,3252.6211,4,4,110.4,110.4,0.64885958,71.634098,12,8,7,6,55.174486,55.174486,71.145716,71.145716,7.9988333,NA,97.65,9,6,166.86972
517,Grain,2002,46.02,-73.43,72082,2002-05-11,NA,6.3,NA,3,906.5,97,Silty loam,21,36,Sainte-Rosalie,Bird manure,AAP,0,16,NA,NA,NA,11.3,11.7,NA,NA,NA,679,691,NA,NA,NA,24.9,23,NA,NA,NA,NA,NA,NA,NA,161,433.4,433.4,0.68727972,297.86703,48,41,26,15,-30.314475,-30.314475,621.93691,621.93691,16.668075,NA,1888.49,42,32,3040.9262,4,4,101.06,101.06,0.62749823,63.414971,11,9,6,4,-3.8674506,-3.8674506,105.12568,105.12568,11.867167,NA,206.84,8,4,352.6016
518,Grain,1998,45.4,-73.13,NA,1998-05-14,NA,6.5,NA,3.3,917,179,Silty loam,24,22,Providence,Manure,AAP,0,12,NA,NA,NA,10.2,10,NA,NA,NA,729,738,NA,NA,NA,19,18.7,NA,NA,NA,NA,NA,NA,NA,163,474.99,474.99,0.7661426,363.91007,64,49,37,16,-19.954761,-19.954761,593.40194,593.40194,17.337393,NA,2011.24,54,45,3308.1015,4,4,51.05,51.05,0.53931781,27.532174,8,5,3,2,-63.785664,-63.785664,140.96627,140.96627,16.258167,NA,337.745,6,4,548.00062
519,Grain,1998,45.8,-73,NA,1998-05-10,NA,6.4,NA,1.9,724,527,Loamy sand,3,83,NA,Manure,AAP,0,17,NA,NA,NA,10.7,10.6,NA,NA,NA,658,662,NA,NA,NA,25.9,24.6,NA,NA,NA,NA,NA,NA,NA,167,426.72,426.72,0.73794065,314.89403,56,44,32,15,-30.510687,-30.510687,614.08004,614.08004,17.094461,NA,2020.24,49,42,3335.0704,4,4,45.53,45.53,0.52083829,23.713767,7,5,4,1,-65.868295,-65.868295,133.39504,133.39504,15.8755,NA,326.265,5,5,536.21592
520,Grain,1998,45.8,-73,79566,1998-04-30,NA,6.2,NA,4.2,1120,126,Silty clay,43,6,NA,Manure,AAP,0,17,NA,NA,NA,9.7,9.6,NA,NA,NA,686,688,NA,NA,NA,19.4,19,NA,NA,NA,NA,NA,NA,NA,162,423.19,423.19,0.74368325,314.71932,58,46,32,14,-34.586434,-34.586434,646.94531,646.94531,17.601698,NA,2041.94,48,40,3376.8582,4,4,34.7,34.7,0.63508221,22.037353,10,6,3,0,-74.714741,-74.714741,137.23411,137.23411,16.384167,NA,341.525,7,3,562.07889
521,Grain,1999,45.4,-73.13,71446,1999-04-26,NA,6.4,NA,2.2,851,77,Silty loam,17,28,Saint-Hyacinthe,Manure,AAP,0,18,NA,NA,NA,9.4,9.5,NA,NA,NA,729,739,NA,NA,NA,18.1,18,NA,NA,NA,NA,NA,NA,NA,166,554.93,554.93,0.72122189,400.22767,64,54,29,16,-20.758384,-20.758384,700.30121,700.30121,18.073705,NA,2173.185,48,45,3507.3437,4,4,54.3,54.3,0.49124464,26.674584,7,7,3,2,-60.130177,-60.130177,136.19323,136.19323,14.281667,NA,278.45,6,6,477.0808
522,Grain,2000,45.4,-73.13,60253,NA,NA,6.7,NA,2.4,900.8,203.5,Silty loam,23,20,NA,Manure,AAP,0,11,NA,NA,NA,6.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,31.5,30.2,NA,NA,NA,NA,NA,NA,NA,159,514.61,514.61,0.79922451,411.28892,77,62,34,14,-9.9157581,-9.9157581,571.25418,571.25418,16.41261,NA,1815.7,56,47,3033.5272,5,5,133.27,133.27,0.70158642,93.500423,15,12,9,5,24.348743,24.348743,107.17438,107.17438,13.549167,NA,256.475,9,5,441.02662
523,Grain,2000,46.08,-72.83,71123,2000-05-17,NA,5.9,NA,3.5,742,188.1,Sandy loam,15.8,61,Courval/Sainte-Rosalie,Manure,AAP,0,14,NA,NA,NA,6,6.5,NA,NA,NA,580,593,NA,NA,NA,26,24.8,NA,NA,NA,NA,NA,NA,NA,145,487.27,487.27,0.76607459,373.28516,59,49,33,21,-3.3648027,-3.3648027,504.23657,504.23657,16.361448,NA,1647.805,50,38,2756.1053,5,5,113.3,113.3,0.64573133,73.16136,11,10,7,5,6.0136137,6.0136137,106.87307,106.87307,13.2015,NA,246.045,7,6,421.86858
524,Grain,2000,45.4,-73.13,75099,2000-05-01,NA,7.2,NA,2.6,943.9,63.9,Clay loam,30.5,21,Providence,Manure,AAP,0,17,NA,NA,NA,6.7,6.4,NA,NA,NA,590,610,NA,NA,NA,28.2,26.6,NA,NA,NA,NA,NA,NA,NA,161,530.79,530.79,0.8028417,426.14034,80,68,35,16,-6.1136173,-6.1136173,565.35355,565.35355,16.24264,NA,1811.325,58,52,3033.6987,5,5,141.17,141.17,0.72060311,101.72754,16,13,8,5,38.443697,38.443697,101.96925,101.96925,12.809333,NA,234.28,11,8,403.79995
525,Grain,2000,45.95,-73.58,69680,2000-05-02,NA,6.3,NA,3.9,1028.1,304.4,Silty loam,24,21,Saint-Urbain,Manure,AAP,0,18,NA,NA,NA,6,6.1,NA,NA,NA,573,585,NA,NA,NA,26,25.6,NA,NA,NA,NA,NA,NA,NA,165,588.02,588.02,0.75325835,442.93097,68,58,35,20,-2.1391683,-2.1391683,600.8737,600.8737,15.487152,NA,1738.25,56,46,2909.1844,5,5,142.81,142.81,0.66912006,95.557036,13,12,8,5,34.377535,34.377535,106.2752,106.2752,12.125333,NA,213.76,10,8,372.2252
