ID,Annee,LongSC,pcpCum,SDI,AWDR,nbPcp1,nbPcp2,nbPcp5,nbPcp10,IhBR,IhKcBR,etpBRcum,etpKcBRcum,tMean,DJCm,DJCb,nb3po3j,nb4po7j,UTMc,cClim,cClimKc,PcpCum_.30,SDI_.30,AWDR_.30,NbPcp1_.30,NbPcp2_.30,NbPcp5_.30,NbPcp10_.30,IhBR_.30,IhKcBR_.30,EtpBRcum_.30,EtpKcBRcum_.30,Tmean_.30,DJCm_.30,DJCb_.30,Nb3po3j_.30,Nb4po7j_.30,UTMc_.30
535,2000,149,495.86,0.76690505,380.27754,60,50,34,21,-2.2456151,388.77192,507.2509,101.45018,16.094295,NA,1656.03,51,39,2772.9632,5,5,113.3,0.64573133,73.16136,11,10,7,5,6.0136137,6.0136137,106.87307,106.87307,13.2015,NA,246.045,7,6,421.86858
536,2000,159,526.49,0.80127339,421.86243,79,67,35,16,-6.8742033,365.62898,565.35355,113.07071,16.372264,NA,1809.36,57,50,3033.6537,1,1,141.17,0.72060311,101.72754,16,13,8,5,38.443697,38.443697,101.96925,101.96925,12.809333,NA,234.28,11,8,403.79995
537,2000,158,578.99,0.75245383,435.66324,66,56,35,20,-2.6563397,386.7183,594.78963,118.95793,15.892184,NA,1723.25,54,44,2878.1095,1,1,142.81,0.66912006,95.557036,13,12,8,5,34.377535,34.377535,106.2752,106.2752,12.125333,NA,213.76,10,8,372.2252
538,2000,155,530.38,0.77989708,413.64181,72,56,34,17,-1.6371882,391.81406,539.20785,107.84157,15.875613,NA,1688.835,56,43,2828.3449,1,1,128.6,0.68201708,87.707397,14,12,7,5,28.440462,28.440462,100.12421,100.12421,12.708167,NA,231.245,8,5,397.69451
539,2000,147,422.08,0.79715676,336.46392,69,55,29,10,-17.91088,310.4456,514.17289,102.83458,16.567041,NA,1703.13,50,43,2844.624,4,4,73.19,0.66719553,48.832041,12,9,5,2,-35.413641,-35.413641,113.32114,113.32114,14.8845,NA,296.535,8,4,503.70546
540,2000,159,575.27,0.77133099,443.72358,63,53,35,25,5.2257786,426.12889,546.70064,109.34013,16.138585,NA,1771.53,53,38,2958.9907,1,1,155.42,0.69981667,108.76551,13,12,9,6,51.059274,51.059274,102.88676,102.88676,13.014333,NA,240.43,9,4,407.06412
541,2001,159,463.64,0.70959943,328.99868,53,42,27,17,-29.620783,251.89608,658.77403,131.75481,18.022201,NA,2070.53,43,34,3364.5266,4,4,68.1,0.58451301,39.805336,9,9,4,2,-45.85802,-45.85802,125.7804,125.7804,15.014667,NA,300.44,8,5,497.45798
542,2001,173,464.34,0.75973573,352.77569,62,53,34,15,-27.236749,263.81625,638.15181,127.63036,17.075549,NA,2089.07,49,45,3415.6804,4,4,71.45,0.67500188,48.228885,11,9,6,1,-41.153877,-41.153877,121.41836,121.41836,14.392333,NA,281.77,8,6,473.05982
543,2001,176,503.32,0.72129638,363.04289,61,47,29,19,-27.71109,261.44455,696.26171,139.25234,17.38554,NA,2180.545,49,38,3568.4373,4,4,50.58,0.47378827,23.964211,7,6,3,2,-59.621657,-59.621657,125.26517,125.26517,13.743167,NA,262.74,5,2,450.70484
544,2001,157,452.69,0.72375001,327.63439,54,45,26,17,-30.292314,248.53843,649.41189,129.88238,18.099841,NA,2056.675,42,35,3341.0702,4,4,78.11,0.62381226,48.725976,10,10,4,3,-36.551394,-36.551394,123.10751,123.10751,14.634667,NA,289.04,6,6,483.90891
545,2001,162,457.19,0.73573495,336.37066,58,47,27,19,-31.487192,242.56404,667.30589,133.46118,17.931173,NA,2094.85,46,38,3393.503,4,4,61.77,0.59567619,36.794918,10,9,3,2,-51.674252,-51.674252,127.82006,127.82006,15.337667,NA,310.13,8,5,509.43458
546,2002,120,374.45,0.69371923,259.76317,40,33,20,15,-23.937086,280.31457,492.28984,98.457968,16.907083,NA,1436.535,32,25,2314.3125,1,1,110.4,0.64885958,71.634098,12,8,7,6,45.675554,45.675554,75.78485,75.78485,8.722,NA,119.345,9,5,198.95295
547,2002,162,484.58,0.6837568,331.33487,51,42,25,18,-22.275627,288.62186,623.45952,124.6919,17.406574,NA,2011.22,39,35,3228.3395,1,1,121.16,0.63246566,76.62954,12,10,7,5,13.134534,13.134534,107.09374,107.09374,13.0325,NA,241.065,7,4,405.20231
548,2002,161,465.03,0.68813759,320.00462,50,42,25,17,-23.247071,283.76464,605.87916,121.17583,17.17118,NA,1965.11,39,35,3180.9122,1,1,172.85,0.62962607,108.83087,13,11,8,6,62.465926,62.465926,106.39154,106.39154,13.3265,NA,250.54,8,5,416.39946
549,2002,156,417.08,0.67222062,280.36978,46,39,22,14,-28.907698,255.46151,586.67393,117.33479,17.333013,NA,1940.53,38,35,3155.41,1,1,169.72,0.63944027,108.5258,14,13,7,5,35.253817,35.253817,125.4826,125.4826,15.710333,NA,321.31,10,10,546.56952
550,2002,165,465.33,0.69619181,323.95894,52,43,25,18,-26.829917,265.85042,635.95663,127.19133,17.051606,NA,1995.945,42,35,3230.5838,1,1,114.57,0.64586146,73.996347,12,8,7,6,51.555376,51.555376,75.596131,75.596131,8.8168333,NA,121.935,9,5,202.67888
551,2002,151,413.52,0.67972703,281.08072,46,39,24,14,-27.539305,262.30348,570.6818,114.13636,17.372914,NA,1885.52,36,29,3023.2809,1,1,185.41,0.66166836,122.67993,15,14,8,5,45.890706,45.890706,127.08829,127.08829,16.4925,NA,344.775,9,7,573.34704
552,2002,155,417.04,0.68244003,284.60479,48,38,22,15,-31.365189,243.17406,607.62169,121.52434,17.35229,NA,1915.485,39,31,3113.3046,1,1,120.39,0.64367132,77.49159,13,9,7,5,24.231823,24.231823,96.907537,96.907537,11.518,NA,196.42,10,6,331.64004
561,2002,149,399.45,0.6694221,267.40066,44,38,21,13,-31.368281,243.15859,582.01952000000006,116.4039,17.95953,NA,1933.24,36,32,3142.7171,1,1,174.62,0.65911191,115.09412,15,14,7,5,37.768414,37.768414,126.74894,126.74894,16.105333,NA,333.16,9,9,561.95006
562,2001,150,432.73,0.71840622,310.87592,51,42,25,16,-31.889912,240.55044,635.33907,127.06781,18.3378,NA,2000.67,40,33,3244.7246,4,4,78.11,0.62381226,48.725976,10,10,4,3,-36.551394,-36.551394,123.10751,123.10751,14.634667,NA,289.04,6,6,483.90891
563,2001,164,469.79,0.72939022,342.66023,57,48,27,18,-30.087512,249.56244,671.96865,134.39373,17.792256,NA,2097.93,44,37,3411.0084,4,4,62.35,0.58011471,36.170152,9,9,3,2,-52.566246,-52.566246,131.44648,131.44648,15.160833,NA,304.825,6,4,511.3941
564,2001,154,437.08,0.74874787,327.26272,57,47,36,15,-30.475622,247.62189,628.67157,125.73431,17.445292,NA,1916.575,46,41,3142.6702,4,4,82.07,0.66780082,54.806413,12,10,7,4,-33.203053,-33.203053,122.8649,122.8649,13.905,NA,267.15,8,6,456.24227
565,2002,179,531.65,0.70509884,374.8658,58,47,29,20,-17.942777,310.28611,647.90153,129.58031,16.288715,NA,2032.365,47,40,3305.9676,1,1,114.57,0.64586146,73.996347,12,8,7,6,51.555376,51.555376,75.596131,75.596131,8.8168333,NA,121.935,9,5,202.67888
566,2002,151,413.52,0.67972703,281.08072,46,39,24,14,-27.539305,262.30348,570.6818,114.13636,17.372914,NA,1885.52,36,29,3023.2809,1,1,185.41,0.66166836,122.67993,15,14,8,5,45.890706,45.890706,127.08829,127.08829,16.4925,NA,344.775,9,7,573.34704
567,1996,141,426.7,0.75984988,324.22795,64,49,26,13,-22.622732,286.88634,551.45395,110.29079,17.784255,NA,1805.105,44,39,2999.1775,4,4,95.17,0.69595568,66.234102,16,11,6,4,-26.948688,-26.948688,130.27829,130.27829,17.1585,NA,364.755,8,7,612.77488
568,1997,135,354.71,0.72106534,255.76909,47,41,24,10,-33.767869,231.16065,535.55577,107.11115,17.545111,NA,1693.59,39,30,2789.971,4,4,59.95,0.52755823,31.627116,9,7,4,2,-60.534512,-60.534512,151.90487,151.90487,17.873167,NA,386.195,7,5,629.01038
569,2000,115,375.17,0.77643861,291.29647,55,45,26,14,-13.937467,330.31267,435.92721,87.185442,17.563565,NA,1446.155,41,35,2409.0531,5,5,116.66,0.76389642,89.116156,18,16,9,4,-9.6760278,-9.6760278,129.1573,129.1573,18.083833,NA,392.515,11,10,653.35553
570,2001,158,433.35,0.73656834,319.19189,56,47,28,17,-34.487433,227.56284,661.47614,132.29523,18.084114,NA,2067.29,42,38,3351.8231,4,4,61.54,0.60500859,37.232229,10,9,4,2,-51.014132,-51.014132,125.62807,125.62807,15.068667,NA,302.06,7,6,498.62495
571,1997,156,390.9,0.73597305,287.69186,55,47,26,10,-33.741816,231.29092,589.96486,117.99297,16.442756,NA,1786.445,46,33,2941.163,4,4,44.3,0.6852914,30.358409,10,8,3,0,-52.586677,-52.586677,93.433653,93.433653,11.045333,NA,182.735,8,3,305.96978
572,1998,158,475.99,0.75570552,359.70827,58,48,36,17,-23.205965,283.97017,619.82679,123.96536,17.690918,NA,2005.55,45,43,3307.9562,4,4,51.85,0.59094627,30.640564,9,7,5,2,-62.600209,-62.600209,138.63714,138.63714,16.447,NA,343.41,5,5,562.34594
573,2001,161,438.79,0.7395711,324.5164,58,49,28,17,-35.132836,224.33582,676.44394,135.28879,17.987981,NA,2091.065,43,38,3395.4068,4,4,59.74,0.59905919,35.787796,10,9,4,2,-55.052668,-55.052668,132.91112,132.91112,15.31,NA,309.3,7,4,517.05361
574,2002,159,446.25,0.68245731,304.54657,48,40,24,16,-26.509562,267.45219,607.22185,121.44437,17.244497,NA,1951.35,38,32,3158.9459,1,1,172.21,0.62853647,108.24027,13,11,8,6,61.462839,61.462839,106.65612,106.65612,13.286667,NA,249.47,8,5,415.10963
575,1998,175,496.72,0.7742477,384.58432,68,59,34,19,-24.08241,279.58795,654.28842,130.85768,17.400086,NA,2171.98,52,50,3580.1682,4,4,26.43,0.63302744,16.730915,8,6,0,0,-80.275116,-80.275116,133.99318,133.99318,15.760667,NA,324.655,5,4,539.05646
576,1998,176,497.37,0.77396971,384.94931,69,59,34,19,-23.775125,281.12437,652.50353,130.50071,17.41483,NA,2185.14,54,49,3600.0275,4,4,25.8,0.6145658,15.855798,8,6,0,0,-81.31766,-81.31766,138.09833,138.09833,16.077833,NA,332.335,5,3,553.55735
